Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount
35-44,Abnormally Long or Heavy Periods,4/30/2015,lysteda,154120,5,5,"I tell everyone about this drug.  It is a miracle.  I can't take hormones and I dont want to have surgery.  I have been taking it every month for 2 years.  It decreases bleeding about 75% on average each month.  I still bleed for about 5 days but thats better than 7 or 8.  My cramping is reduced greatly as well.  I don't have any side effects from it.  I do have a lot of headaches during my period but thats not unusual.  I had headaches with my period before I began taking this drug.  I CANNOT go back to life without this drug!  I keep 2 in my office and 2 in my purse just in case I start early.  I don't want to go a minute without it.  The only issue I have found with it is that if I dont taking it around the clock, the effects wear off quickly. It is very short acting.  That's fine though.  I'll take that any day over hormones or surgery.  ",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",6
45-54,Abnormally Long or Heavy Periods,8/2/2014,lysteda,154120,5,3,"I've have an ablation (Novasure) about 2 1/2 years ago. Didn't work.  I have fibroids. I've been on Lysteda for about 9 months. In the beginning it was good. Three to four heavy days instead of 5 to 7. But, the heavy days started getting really heavy again. Now I have had Mirena implanted into me.  This is my second month with that. I was so nauseated that I had to leave work.  I'm happy that this helps other people. I have heard that it does and I know that it can. Unfortunately, it just hasn't for me. ",3,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
45-54,Abnormally Long or Heavy Periods,7/30/2014,lysteda,154120,5,5,"I called it the miracle drug, because it works beautifully for me. No side effects at all",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
35-44,Abnormally Long or Heavy Periods,5/28/2014,lysteda,154120,5,5,"EXTREMELY heavy periods due to a 7cm fibroids. I am scheduled for a hysterectomy in 3 months. Asked my doc if there were any meds to help with the heavy bleeding and I got this miracle pill. I usually go through 1 super size super pack the first 3 days. Day 4 and I've barely gone through 20 pads. 
I have some headache after taking the pill, but I TOTALLY take it over the heavy flow and the fear of having an ""accident"" while on my menses. Highly recommend it.",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",3
35-44,Abnormally Long or Heavy Periods,5/27/2014,lysteda,154120,4,4,"I've had heavy painful periods all most of my life.  Worse in my teens and then came back strong in my mid thirties.  No kids or pregnancies but I get ovarian cysts.  While I was considering a Novasure, my doctor prescribed lystera.  I only have taken it on my heavy days or when I know  I need to function outside the house as I can most work from home.  I took it steadily this last month and it made a huge difference.  I had scheduled the Novasure but after doing a deeper dive into the supposed 10% it doesn't work for .. I'm going to stick with the lysteda and aleve.  After all, this too shall pass ... I've dealt with it for over 30 years .. What's another 5-10? ",4,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",7
45-54,Abnormally Long or Heavy Periods,11/27/2013,lysteda,154120,5,5,At 52 I am still having heavy peroids.  This is much safer than hormone drug. Other than fatigue I have no other side effects and I would feel that way anyway during a heavy cycle.  definitely reduces the blood flow.,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",12
45-54,Abnormally Long or Heavy Periods,11/5/2013,lysteda,154120,4,4,"45 and diagnoses with a thicker than usual endometrium.  No cancer and one small fibroid.  Cycles are disgustingly heavy and always restrict my activity.  Palm sized clots are a 'normal' monthly occurrence.   Lysteda drastically reduced my periods but not without side effects.  Month 1 I took the full 5 days and was very happy with the light period.   I only used 5 supers on days 2/3 as opposed to a full box of super+!  I wore liners on days 4 & 5!  Side effects were fatigue, migraine level headaches, muscle pain, congestion, random sneezing, dizziness, sensitivity to light and insomnia.  Month 2 and again a lighter than usual period but I stopped taking the med after day 3.  Debilitating migraine, diarrhea, nausea, horrible cramps, severe congestion, continual sneezing, itchy skin and nose, fatigue, extreme drowsiness, swollen glands in the neck, very cold hands and feet and hip pain.  All symptoms went away within 8 hours after stopping the med so no, I did not have the flu!   I think I'll opt for one of the procedures.",2,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",15
45-54,Abnormally Long or Heavy Periods,10/11/2013,lysteda,154120,3,2,"I was prescribed this medication for severely heavy and long periods that put me into a state of anemia. This drug simply postponed my period and when it came, was heavier than ever causing even worse anemia. My skin broke out in a rash all over my body and my eyes have been twitching for 2 weeks, which I've never had before. Glad that it works for some people; I had high hopes but will not take this drug again.",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",5
13-18,Abnormally Long or Heavy Periods,9/25/2013,lysteda,154120,5,1,"hi my name is lara and im 18 years old and i was prescribed with this pill a week before my expected period hoping that it would lessen my period and maybe even delay it a couple of days.. I asked my doctor for a prescription for a progesterone pill but she refused and thought that lysteda would be best for me. The reason why i desperately needed this pill was because i was flying out to las vegas to see my boyfriend for a week and it just so happen to be that i was supposed to get my period at that time. I'm not on birth control (but i should be) because i dont want my mother to think that im having sex etc. So i went to las vegas and for the first four days i was there i didnt get my period (thank god) and the fifth day i got it and took the pills that morning afternoon and night for the first few days of my period hoping that it would have some effect. Well, it didn't. I was so pissed off because i get terrible periods where i can't get out of bed and i'm really not a nice person and highly emotional and it's just not a good time for me. Plus i was staying with my boyfriend and thats so not fun if i have it. I'm very upset that this pill didn't work with me after reading all of the amazing reviews about it and if i want to miss another period i guess i'm just going to have to go on birth control. Thanks doc",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",3
35-44,Abnormally Long or Heavy Periods,8/18/2013,lysteda,154120,4,4,"I had stroke like symptoms last month while taking this medication.  Blurred vision, slurred speech and droopy face.  Went to ER for CT and MRI which showed no actual stroke but possible TIA..going to neurologist soon for follow up",2,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",7
19-24,Other,7/8/2013,lysteda,154120,4,1,"I was prescribed Lysteda to treat severe menstrual cramps. The idea was that if bleeding was reduced, so would the pain. Not so, unfortunately. My flow was reduced but there was little/no effect on the pain. I don't recommended it as cramp relief. ",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",0
35-44,Abnormally Long or Heavy Periods,5/11/2013,lysteda,154120,4,5,My periods were excrutiatingly heavy and painful. Every month I was bedridden for a minimum of three days. I agonized for months about having a hysterectomy to end the misery but face the possibility of never having a child. Lysteda has  literally saved my life and has given it back to me!! It is phenomenal how incredible this stuff has worked for me! I can't believe I've never heard of it until now! This stuff should be adverstised a lot more so that more lives can be spared the misery of living with painful and heavy periods. I am telling everyone I know about it! I feel so full of life! So energized! So happy and SOO RELIEVED that NEVER AGAIN WILL AGONIZE AND SUFFER during my period. OMG! I fail to find the right words to describe just how amazingly Lysteda has worked for me!I was skeptical that it would work for me but you just have to experience it to believe it!! ,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
35-44,Abnormally Long or Heavy Periods,4/22/2013,lysteda,154120,4,4,"For over 7 years, after the birth of my daughter, I would  have very heavy periods and sharp pains each month and no one could tell me what was wrong. Finally, I moved back to my home state of Florida and located a doctor that prescribed Lysteda...THANK YOU LORD!!!! I have been taking this medicine for about 1 1/2 and although my cycle last about 6 days, I would rather take that than 2 days of ""faucet flowing"" cycle. It was so bad that I would have to wear a Depend for the first 3 days ...embarrassing!!! I'm happy with the meds...had some side effects earlier, but nothing compared to how I was before!",4, ,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",9
35-44,Abnormally Long or Heavy Periods,2/16/2013,lysteda,154120,3,5,"I am a 43 year old African American female and I have taken this medication since August 2011. Immediately upon use of this medication i saw results. The heavy bleeding was greatly reduced. I have several fibroids, more than i can count, but i primarily have 3 large ones. One the size of an orange, another a lemon and another a golf ball. At any rate, after using the drug for two months, i noticed that I because sensitive to Tide Washing powder. I stopped using Tide powder, and started using the liquid. Things appeared great until now. Currently, I am super sensitive to everything. Tide, powder or liquid. I'm even sensitive to free and clear washing detergents and fabric softners. In addition, I can't eat any food that contains oil of any kind: soybean, vegetable, corn, safflower, sunflower and the list goes on. If I consume anything with oil or ware clothes washed in the over the counter detergents, I immediately start itching severely and break out into hives. After consulting with my doctor, she informed me that one of the side-effects of Lysteda is hypersensitivity. So far now, I am giving up on it and seeking another solution.  ",2,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",14
35-44,Abnormally Long or Heavy Periods,2/9/2013,lysteda,154120,1,5,"I'm 44 YO
Took it for three days and lost my period !:(
",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",5
45-54,Abnormally Long or Heavy Periods,1/26/2013,lysteda,154120,4,4,I took Lysteda for about 18 months.  It definately worked to reduce and control monthly bleeding.  I began to suffer from joint discomfort however and discontinued this med to try low dose birth control meds instead.  Within three months my joint pain has subsided immensely!,2,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",3
35-44,Abnormally Long or Heavy Periods,1/20/2013,lysteda,154120,5,5,I am only 36 but after having my twins 7 years ago I have suffered with periods so heavy I feel like I need to wear a diaper just to get through the day! Since I have been taking Lysteda it's like a whole new world. I don't feel like I have to run to change every 15 minutes. Thank You!!!,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",14
35-44,Abnormally Long or Heavy Periods,1/13/2013,lysteda,154120,5,5,"i am 42 years old with debilitating periods for the last 3 years. some of which have actually landed me in the emergency room. first 2 days i would wear overnight super ads and suer tampons changing every 20min or so, sometimes not even leaving the bathroom. i had no insurance so i just suffered. i finally got insurance and visited a new doctor and immediately prescribed lysteda. please let me tell you this is the first month ive used it and i wore regular pads and no tampons and my life is changed. this product is a gift and would recommend to anyone that suffers",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",14
35-44,Abnormally Long or Heavy Periods,1/5/2013,lysteda,154120,5,5,started taking pills yesterday. took only 1 in the morning and 1 at night it all but stopped my bleeding! best thing ever!,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",5
45-54,Abnormally Long or Heavy Periods,12/31/2012,lysteda,154120,5,5,"WOW....after literally 30 years of horrendously painful and heavy periods, I finally have my life back!! I am on day two of Lysteda and guess what?...The last two days have been perfectly normal days! It has not been interrupted by my period at all.  Before Lysteda I was homebound for the first three days of my cycle as I would have to be near a bathroom every 15 minutes.  I can't beleive how much a difference Lysteda has made.  I thought it would be hard to take 2 pills 3x's a day, but when it works this good, I definetely will not have a problem remembering.  If you are reading these reviews to decide whether to try this or not, DO IT!!  It could very well change your life too!  :-) ",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",13
45-54,Abnormally Long or Heavy Periods,12/11/2012,lysteda,154120,5,5,"pill works very well, but on the third day the inside of my mouth hurtd and my calves,and nausus,with no tast buds, i only take two doses on the third day, then two doses on the forth day, and stop, seems to work better, its the only thing that works withut surgery, so no choice",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",1
45-54,Abnormally Long or Heavy Periods,12/9/2012,lysteda,154120,5,5,"49 otherwise healthy, cysts and fibroids and have been advised to have a full hysterectomy. I was given some samples by my Ob/gyn and noticed a big difference, no side effects. Recently on a cruise and could use a regular pad as opposed to maxi plus a tampon. No or minimal clots where as usually they are awful. My only issue? Cost. Only generics covered by my insurance and according to my pharmacy, the Lysteda assistance card only works if your insurance pays something. Result. Can't afford it. Lst my hone and business last year, and just lost my job last week.",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",2
25-34,Abnormally Long or Heavy Periods,12/3/2012,lysteda,154120,4,3,"I had been bleeding for a total of 52 days. I had been using the depo shot for a year, then all of a sudden I started to bleed very heavy with clots and cramps. My doctor did test after tests and no signs of fibroids and the unexplained bleeding. I didn't take the full recommended dose I took 2 pills a day and today is day 2. It has lessened my period, but has given me awful side effects. I have a bad headache, stomachache and body aches and just all around feel exhausted. I will continue to try and take it but I'm not taking  pills a day with all these awful side effects and still have to be able to function. ",3,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",0
35-44,Abnormally Long or Heavy Periods,10/31/2012,lysteda,154120,5,5,"This medication changed my life, I have always had heavy periods because of my thyroid condition but it was not just heavy bleeding but extreme Pain now the pain is manageable and even though it is now a longer period it is so much easier to handle Lysteda changed my life ",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",3
35-44,Abnormally Long or Heavy Periods,10/28/2012,lysteda,154120,5,5,My doctor won't prescribe for more than 6 months.  This drug has improved my life dramatically.  Any suggestions?,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",1
45-54,Abnormally Long or Heavy Periods,10/20/2012,lysteda,154120,5,5,"I used it for a school camping trip.  I took 2 pills, three hours apart, on the second day of my period.  It started working immediately, slowing my period down to a trickle.  I felt a bit lightheaded the next day, but was still able to hike, take care of 6 kids, etc.  I didn't take any more than those 2 pills, but my period never resumed the heavy flow and was very manageable the rest of my cycle.",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",5
 ,Abnormally Long or Heavy Periods,10/3/2012,lysteda,154120,5,5,"54 YO with uterine fibroids and HEAVY clotting with periods. Received prescription yesterday noon during heavy flow, within the hour huge improvement, today even better (very light spotting). Only side effect very mild headache- hate to even call it that. Extremely happy so far.",5, ,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",10
35-44,Abnormally Long or Heavy Periods,9/30/2012,lysteda,154120,5,5,"I am 43, and have three children. After having my third child, my periods were so heavy that they interfered with work and daily activities. My doctor checked for abnormalities, which was negative. We then tried a D&C, which did nothing. Ablation was suggested. I am not completely comfortable with the idea of that procedure. After trying Lysteda, I am thrilled! It cut the volume of blood, and the cycle time in half. I only took one pill three times a day instead of two times a day. Two pills would have probably stopped my period altogether, which I am not comfortable doing. If you find the suggested dose too strong, consult your pharmacist about taking a half dose. This product has changed my life for the better, making an active lifestyle during my period much more manageable. ",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",12
35-44,Abnormally Long or Heavy Periods,9/13/2012,lysteda,154120,4,4,lysteda saved my vacation. i have heavy cycles due to fibroiods and there was no way i would have enjoyed my trip to new york without it.  i don't recall any side effects but taking them every 8 hrs means you may have to wake up during the am hours to take and start taking them as soon as you know your cycle is starting.  i'm very pleased.,4,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",7
35-44,Abnormally Long or Heavy Periods,7/27/2012,lysteda,154120,5,5,"I have used Lysteda for one month and I am very pleased with the results.  While it did not shorten my period, it made it much more manageable and eliminated the clots.  I had to push my doctor to prescribe as she was unfamiliar.  It is a great alternative to birth control with hormones and for those with other gynecological issues (fibroids, cysts).  I had absolutely no side effects.",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",18
45-54,Abnormally Long or Heavy Periods,7/27/2012,lysteda,154120,4,4, ,4,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",1
35-44,Abnormally Long or Heavy Periods,7/16/2012,lysteda,154120,1,3,This medication made me extremely thirsty and I had awful cramping. Stopped taking after 3 days. While I was taking it my period was lighter. Now that I have stopped (3 days ago) my period has come back full force. I'm not satisfied at all and will go ahead with the endometrial ablation I have scheduled. Ebmd17ee,1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
35-44,Abnormally Long or Heavy Periods,7/16/2012,lysteda,154120,5,5,"I have very heavy menstrual cycles on days 2 and 3. Day 2 is the absolute worst ... I can bleed heavily for 4-5 hours straight. I have ended up in the ER twice for lightheadness and shortness of breath. At the beginning of the year, I tried the Depo Provera shot. It helped but it caused weight gain, hair loss, and prolonged spotting. So I did not do another one of those shots. I had the D&C surgery which ended up being expensive and a waste of time. I had to ask my OB-GYN about this medication because I saw the leaflet in the waiting room. He acted as though he did not want prescribe it. He said the only thing that would help me is a hysterectomy.  I plan to have one, but not this year so in the meantime I love taking Lysteda because it makes me feel like I have a normal period. I have definitely recommended it to others I know with the same problem. My periods do not interfere with my life anymore.",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",15
25-34,Abnormally Long or Heavy Periods,7/10/2012,lysteda,154120,4,5,"Lysteda is AMAZING. I was very nervous to take it due to me already being on birth control and it increasing the chances of blood clots, stroke, heart attack, etc...but I can tell you that I noticed a decrease of bleeding after the first dose! It lightened my period to after day 3 I was able to wear a ""lite tampon"" which I have NEVER done even in my teen years. The only issue I had was that I had to take it 3 times a day and I am forgetful so I had to count my pills on a few occassions to see if I had already taken my dose. Other than that, the stuff is just amazing.",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",10
45-54,Abnormally Long or Heavy Periods,7/1/2012,lysteda,154120,1,3,"I was prescribed Lysteda for heavy bleeding. My menstrual period made it difficult to work, sleep, go out, or do anything. This medication did make my period lighter, but it went from 5 days to 7 days in length. It is also very difficult to swallow the tablets, as they are HUGE. I am going to go back to my gyn and get a hysterectomy, as I cannot imagine 5 or more years doing this. I am 48.",2,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",10
25-34,Abnormally Long or Heavy Periods,6/30/2012,lysteda,154120,4,3,"I had heavy periods most of my adult life. Large clots, cramps, frequent cycle...THE WORST! I saw a commercial for Lysteda and asked my doctor about it since I wanted to avoid surgery at all cost. It worked great for about 9 months...I had the headaches, back pains, dry mouth ect but it reduced my flow by 50%. Well after the 9th month, the large clots returned and my period got longer ( from 5 days to 10 days) and instead of my 2nd and 3rd days being my worst days, I only had one heavy day on day 4 or 5 where I would bleed so bad that I thought it was a miscarriage. Well after using this drug for over a year, I woke up one morning and COULD NOT MOVE! I had a Charlie horse that would not go away and back pain out of this world! I went to the ER where they said I had sciatica (back pain where the pain also shoots down one or both legs). After being treated for a very slight herniated disk and sciatica my pain would always get worst during and after my period. Although I told both my neuro and my GYN about my theory about this drug they both did said that they didn't know if it was the cause but it was unlikely. Tired, exhausted and frustrustrated I was faced with two choices...stop taking this drug and go back to being a slave to my period or get a partial hysto. I opted for the partial-hysto and WAHHLAHH no more back pain, no more leg pain, no more periods! Please be careful...I know there is not a lot of research out there on LYSteda but I decided to post this as a warning.",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",29
45-54,Abnormally Long or Heavy Periods,6/24/2012,lysteda,154120,5,5,this really helped.no side effects for me.,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",2
