Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount
35-44,Abnormally Long or Heavy Periods,6/19/2012,lysteda,154120,5,5,I am 37 years old and have been diagnosed with Hypotyhroid disorder and severe anemia since I was about 26. I have had heavy periods with large clots and pain so severe it stopped my normal life when I was on my period. My clots were the worst on day 2 and 3 with Lysteda they are almost non existent. I have had this condition for over 10 years and after taking this medication the first day I felt a difference it worked great my flow is at least 50% less and I no longer have to take pain pills to get through a work day or end up in my bed all weekend not wanting to even move. This drug is a miracle to me,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",17
35-44,Abnormally Long or Heavy Periods,6/17/2012,lysteda,154120,5,5,"I have been taking Lysteda for 9 months and it's truly a miracle. I have 3 large uterine fibroids, one the size of an orange, 1 a lemon and the other smaller. At any rate, I have been told by at least 6 to 7 physicians  that my best bet is to just have a hysterectomy. Well after years of just prolonging my decision, I have discovered this medicine and it has significantly changed my life. I used to have to wear tampons and pads simultaneously, and I had to change at least 45 min to an hour, now, I can actually go nearly 3 hrs without worrying that I am going to have an accident. This is truly a blessing. I'm very satisfied. ",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",14
45-54,Abnormally Long or Heavy Periods,5/20/2012,lysteda,154120,4,1,"I'm 45 with very heavy, very painful menstruation that leaves me anemic afterwards.  Although this med seemed to lighten the flow very slightly it increased the pain to such a level I have never had before.  I'd rather suck it up and skip this torture.",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",2
35-44,Abnormally Long or Heavy Periods,5/20/2012,lysteda,154120,4,3,"44 yr old with fibroids and an ovarian cyst. Period lasted 2 months. It has stopped the bleeding but the side effects, for me, are horrible. Severe nausea, cramping, lower back pain, headaches and lack of appetite. I will talk to my doctor about alternatives.",2,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",8
45-54,Abnormally Long or Heavy Periods,5/11/2012,lysteda,154120,5,5,I'm on my 3rd day and omg I love this pill..I have had very very painful periods with heavy bleeding for almost 3yrs.. So bad that doctors giving me percosets . I was just diagnosed with fibroids 4cm they are in the muscle around my uterus and each month with out pain pills I would lay around crying in a fetal position.. I thought the only way out was a hysterectomy but Dr. suggested these and I couldn't thank her enough... No more night time pads for 7 days @5 or 6 a day .. I hadn't worn pantiliners in 3 yrs  . I love this pill no pain .. I have had very little side effects and think this pill is a god send for those of us with fibroids and too many risk factors for birth control...,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
45-54,Abnormally Long or Heavy Periods,5/11/2012,lysteda,154120,4,4,"I am 49 yo with regular heavy periods, just found out i have bleeding cyst and mutiple fibroids my doctor reccommended this med so slow the heavy bleeding because my H&H is 7 after my periods, im opting for the surgery to alleviate all of this before menopause, the medicine causes me to cramp which is a s/e and i take tylenol to help. i dont care it stops the heavy bleeding. so far it is working for me on day 3.",4,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
25-34,Abnormally Long or Heavy Periods,4/24/2012,lysteda,154120,5,5,my bleeding was really bad to the point that i felt like i was going to pass out and also the pain was really bad. since taking this med i notice almost instintly how well it was working and now i dont feel  weak or have as much pain as i did before starting taking this med LOVE THIS MED. ,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",7
 ,Abnormally Long or Heavy Periods,4/10/2012,lysteda,154120,3,4,I am 45 years old with fibroids. I have had heavy cycles for the past 11 years. Day 2-3 is hard for me to leave my house due to the heavy bleeding. I have tried Lysteda 650mg. 3x a day for three days. During that time frame it worked well. My cycle was not as heavy. I was able to go out with my family and not worry about having to change my pad every time I felt a gush. Within one week of taking this I started to have blood in my urine (this past Sunday). I called my regular doctor and he is running a urine test as of now. I started thinking what I did this past month that is different. Then I thought of Lystida and looked up the side effects of this drug. Blood in the urine is a side effect. I will update my results when I find out more information. As of now I will not take this medication. This is very scary!,1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",18
45-54,Abnormally Long or Heavy Periods,3/28/2012,lysteda,154120,5,5,"For years my daughter and I have suffered with heavy draining periods.  This has been a life changer for us.  I only use it 3 to 4 days and the last day half the dose. I have recommended it to friends and family members. No side effects at all-


",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",7
45-54,Abnormally Long or Heavy Periods,3/13/2012,lysteda,154120,5,5,Can't believe how well the drug worked from the first dose.  It is prescribed for no more than 5 days--during your cycle--but I only needed to take it for 3 days.  Now to get my insurance company to cover it.  Its very very expensive.,5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",10
45-54,Abnormally Long or Heavy Periods,3/11/2012,lysteda,154120,1,1,my 44 year old sister is in the neuro ICU from a massive stroke taking this medication. She will never be the same. Ask your Doctor about the increased stroke risk with this medication. She will never be the same. She will not speak again. She has no use of her right side of her body. ,1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",30
35-44,Abnormally Long or Heavy Periods,3/1/2012,lysteda,154120,5,5,"Heavy periods all my life. My doc found I had fibroids that were the cause of the heavy bleeding. We are talking the first 3 days so heavy that leaving the house was a challenge. I would go through 2 packages of overnight pads plus superplus tampons every period. Ruining clothing, sleeping with a towel in the bed, cramping severly with large blood clots. Birthcontrol pills had the reverse effect on me causing me to bleed 3 weeks on and 1 week off. So no good. Finally, years later a doctor finally recognized the help I needed and suggested Lysteda and I love it. Now I only use 1 package of pads with some left over. My life is on again. I can enjoy outings with my husband and children without panic of changing a pad and tampon within 30 minutes. The only side effects I have using the pills are: dry mouth and headaches with a hot feeling in my stomach at times. So I have to increase my water intake, drink gatorade and keep the ceiling fan going at night so I don't sweat while taking it. Overall, Lysteda works for me. ",4,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",8
35-44,Abnormally Long or Heavy Periods,2/21/2012,lysteda,154120,5,5,"Thank you Ferring pharmaceuticals! I have tried various birth control pills with awful side effects. I am so happy I have found Lysteda not only are my periods about 50% lighter, my cramps/bloating etc are significantly lower as well. The only side effect I have noticed are mild headaches which I would have anyways. Highly recommended, no more accidents!",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
25-34,Abnormally Long or Heavy Periods,2/11/2012,lysteda,154120,5,3,Was given lysteda to help with heavy periods and endometriosis. Has shortened my periods however I get a significant amount of bloodclots and worse cramps,2,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
19-24,Abnormally Long or Heavy Periods,2/9/2012,lysteda,154120,5,1,"I have been menstruating for two years straight now and have tried many different birth control pills to try to put a stop to it with no success. My doctor prescribed Lysteda to try to put an end to it and so far I have had no results or changes. I will continue to take it for another few months to see if there are any changes. I've had no side effects, yet.",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",0
35-44,Abnormally Long or Heavy Periods,2/7/2012,lysteda,154120,5,3,"i thought this was the miracle drug for me. i have been trying to get pregnant for almost 2 years and they couldnt treat my periods with anything but birth control. the first month was great, the second month it worked but my period came a week earlier,my third period was only a week and a half later. My periods got worse and the bleeding double than my normal periods. definitely think hard before starting this medication. i would rather deal with one period from hell than a period every other week.   ",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",8
35-44,Abnormally Long or Heavy Periods,2/3/2012,lysteda,154120,5,5,"Well I had extremely heavy periods, doctor prescribed Lysteda, it worked wonderful first month and by second month my period was already less intense, but now I am supposed to be on my 3rd month taking Lysteda y guess what? NO PERIOD at all. I'm making an appoinment with my ObGyn tomorrow!!!  I had a tubal ligation with my last kid, so I am very worried. Anyone else has had the same experience? I read about Staci, she didn't have her period back after taking this drug.",3,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",3
25-34,Abnormally Long or Heavy Periods,1/31/2012,lysteda,154120,4,3,I have been on Lysteda since November. I have to say I feel really sick everytime I take the medicine. I have fibroids and a cyst. My cramps are worst and I have more blood clots. I don't believe that this is medicine for me. The only thing I can say is that my cycle was not as long as normal. I have gone from 3 weeks to about 10 days. ,3,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
55-64,Abnormally Long or Heavy Periods,1/23/2012,lysteda,154120,5,2,My period is still extremely heavy such that I feel like I can't leave my house on days 2 and 3. The only real difference is huge clots rather than small ones. It's still a mess.,2,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",3
65-74,Other,5/3/2014,"lysine acetate 4,000 mg oral powder packet",163405,5,5,"I get boils and if I take a Lysine per day, the boils go away",5,Female, ,0
25-34,Abnormally Long or Heavy Periods,1/19/2012,lysteda,154120,4,4,"I just got on this medication this week and has already seen a difference! I have a history of heavy menstrual cycle lasting almost up to a month. I am also anemic and have a vitamin D deficiency with history of fibriods. So, whatever helps the amount and length of blood loss, I'm all for it! ",4,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",5
19-24,Abnormally Long or Heavy Periods,1/12/2012,lysteda,154120,4,1,"It was supposed to control the bleeding, not prolong it. yes, it has lightened my periods, but I will be getting a second opinion.",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",2
35-44,Abnormally Long or Heavy Periods,1/11/2012,lysteda,154120,5,5,"I took Lysteda for the first time this month. So far I'm extremely happy with it. Had cramping but no more than usual. What was unusual was I felt a contraction type feeling the 3rd morning after I took the Lysteda that lasted about a 1/2 hour. The contraction feeling was not painful, just freaky. No other unusual side effects noted at this time. The number of days on cycle were as usual. My flow was reduced by 50% or more. I was not tied to a bathroom like I usually am on days 2-5! I messed up on the dosage the first day and only took one 650mg tablet in the morning and afternoon. Taking only one had reduced it some (like 20%) but not as much as it did once I got my actual prescription and noticed I needed to take two 650mg tablets, three times a day. My doctor prescribed it correctly, I had forgotten how many she said. It seemed like it would be a lot to remember taking the meds at first, but if someone has a vested interest such as I, you don't forget...believe me! I did start the meds on day 2 and stopped at bedtime on day 5, my doctor says however I should start taking them on day 1. I am not a big fan of taking medication for anything, but I recommend Lysteda because it was very freeing. I will try to remember to post updates after continued usage, especially if I develop side-effects. I've found the reviews of others very helpful to me.  

Note for medical professionals: A strange occurance that may be linked to the contraction type feeling on morning 3. I had two ultra sounds. One about a week after my last period ended and one two days after this past period ended (lysteda usage) and the technician told me my uterus was significantly smaller in size. Not sure if that has anything to do with the Lysteda, but it may be noteworthy. If not disregard.",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",13
35-44,Abnormally Long or Heavy Periods,1/3/2012,lysteda,154120,3,2,"I took this med for the first time this month, My periods are very heavy and I had anemia that was treated with iron injections. My periods normally last 5 to 6 days but this month I am on day 16 and still bleeding. I will not be taking this any more!!!",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",1
35-44,Abnormally Long or Heavy Periods,12/25/2011,lysteda,154120,5,5,"This medicine has been available in Sweden as a OTC medicine for a while at the price of about $ 12 for 18 pills and in the US They are $ about $ 80 for 15 pills WHAT is wrong with this picture,shame on the pharmaceutical company!! and thanks god to my mom who sends them to me from Sweden!! ",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",9
35-44,Abnormally Long or Heavy Periods,12/17/2011,lysteda,154120,5,4,"I was diagnosed with fibroids this month. For my period I usually have one day out of 7, usually the third day after I notice bleeding, where I have to change my protection, an ultra tampon, every 45-60 minutes and i have to use an overnight pad for leaking all day. I took Lysteda as prescribed when I first noticed bleeding and it did decrease the amount of blood but I am now going on almost two weeks of medium light bleeding. Has this happened to others? If so, did you continue taking the drug monthly and did it decrease? Also does anyone know of literature on the use of eating soy to help with fibroids. I can only find info on soy and postmenopausal women?",3,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",2
35-44,Abnormally Long or Heavy Periods,11/27/2011,lysteda,154120,4,2,"I took the 5 day sample my OBGYN gave me to lessen the flow of days 2,3 & 4.  Although it did lessen these days, I am now going on day 14 of light bleeding & have used more tampons for this than my regulatr period (saw nothing about this in any of the side effect information)...my usual period is done in 6 days.  This medication is more trouble than what it's worth for me. Now I have call my doc in the morning and see what I need to do (if anything).  I have thrown the prescription in the trash.",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",8
35-44,Abnormally Long or Heavy Periods,11/22/2011,lysteda,154120,5,5,"I am 38 years old and I have fibrods, endometriosis, ovarian cyst and anmeia. My blood clots and flow were extremely heavy during the 2-3 days of my period. I would use the largest pads on the market with depends underpants during the night due to the accidents and 3 trips to the bathroom. My Doctor gave me lysteda and it worked immediately. The 2nd cycle was better and the 3rd cycle and on was great! It is such a relief and comfort to have a normal life. THANK YOU!!!",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",20
45-54,Abnormally Long or Heavy Periods,11/7/2011,lysteda,154120,2,1,"My period is very heavy on the second and third day, but it's usually gone by the fourth and fifth day. With this pill, it appeared to have gone away on the third day and when I had sex, it was like a period tsunami..I was surprised and embarrassed. It continued throughout six days. I won't touch this pill again. I'm better off naturally.",1,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",9
19-24,Abnormally Long or Heavy Periods,11/2/2011,lysteda,154120,4,5,YES IT WORKS ! I am 22 College student that has been going through a hard hard time with this . Its hard taking 2 pills 3 times a day and 40 bucks  is kinda hard to pay for . But its worth it my joints kinda hurt but no accidents for the first time in history . My period last 6 days but when I took lysteda it only last 3 days first time in history I love it . I just hope I can keep buying it and I hope they keep giving us coupons because lord knws I cant afford it .,4,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",5
25-34,Abnormally Long or Heavy Periods,10/10/2011,lysteda,154120,5,5,"I am thrilled about Lysteda!  I'd never heard of it until last week when my gyno gave me a sample of 6 pills.  I did NOT want to try BC pills again (I'm anti hormones), OR ablation, OR Mirena, etc.  I have been having heavy and long periods since I was a teen.  Because of this, I am anemic due to iron deficiency.  The first day I took it, I noticed a major difference.  My first 2-3 days are normally the heaviest and with this medicine, its barely nothing!  The first thing I noticed was the icky cramping/irritable feelings were diminished about 90%.  Then, I gained an incredible amount of energy and I guess this is what ""normal"" feels like!  I am taking the full dosage and picked up my prescription, the price was $30 with insurance.  I haven't noticed any side effects, but I do feel a little more hungry.  So glad to have this prescription!!!",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",9
35-44,Abnormally Long or Heavy Periods,10/3/2011,lysteda,154120,5,5,"This drug is a godsend for me! I've had heavy periods for a few years now. Some months I couldn't even leave house it's so bad. I would triple up pads to not leak. I was miserable. This is my 3 rd month on it and I love it. No side effects so far.  One pad per day, that's right per day. It's amazing! Try it!!",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",9
45-54,Abnormally Long or Heavy Periods,9/19/2011,lysteda,154120,5,5,"I had the surgery and it didn't work.  Neither did the Nuvaring/IUD.  This does work and I haven't noticed any significant side effects.  Like all the others, I was almost bedridden with the bleeding and now it is a non-issue.  This is a godsend. I am 46, have had three children and have been bleeding heavily since the third, nine years ago.",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",8
25-34,Abnormally Long or Heavy Periods,9/10/2011,lysteda,154120,4,4,"I have been told by doctor after doctor ""we don't know why you bleed like this. It's not normal. Here, try this..."". Nothing worked. I would bleed for 7 to 8 months without stopping. You don't even want to KNOW what I spend on tampons and pads - it's ridiculous! 

This week, I was ordered into my doctors office because I had gone through 8 super plus tampons in less than 3 hours. I was dizzy, I was nauseated, and I felt like I was going to pass out. My doctor put me on Lysteda. I have now taken it for three days and guess what? I am only wearing a pad right now! NO TAMPON - IT'S AMAZING! I have two more days to go on this medication. But so far, I am really happy with my results. ",4,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",10
45-54,Abnormally Long or Heavy Periods,9/9/2011,lysteda,154120,5,5,"I agree with the other 5 star reviewers.  This drug worked like a charm with no discernible side effects.  The drug is a little more cost effective for me because I only have 2 super heavy days so one 'month' prescription lasts me two periods.  Even if it didn't, the freedom the drug give me back, in terms of not being tied to a bathroom or being afraid of overflows more that makes up for the cost.  I just wish I'd had it 7 or 8 yrs ago!  I'm 53 yrs old so menopause has to be somewhere in the not too distant future.  I probably won't be able to enjoy the benefits of Lysteda for long!",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",6
35-44,Abnormally Long or Heavy Periods,9/7/2011,lysteda,154120,5,5,"Holy cow! Do not hesitate to at least give this a try. I was concerned about side effects, but I have not had any to speak of. Maybe a slight headache the first night, but that's normal for my period anyway. I agree with other posts that say it has reduced the volume of my period by about 60 percent. I actually feel normal. It's nice that I am not 1. afraid to leave the house 2. paranoid that I have had an accident or 3. curled up in the fetal position in pain. So, yeah, give this a shot. It is pretty miraculous.",5,Female,"Nausea ,  vomiting ,  diarrhea , and  muscle pain  may occur.",4
55-64,Cancer of Ovary in Patient with Germline BRCA Mutation,1/17/2020,lynparza tablet,167493,4,4,"I have been on Lynparza for almost 3 months ,I have had many side effects in the beginning that made me almost give up ,but after a couple weeks I got used to it ,mostly physical exhaustion and depression ..but I am continued to be tumor free after ovarian 3 c ,so I will continue as long as it doesn?õ??t prevent all quality of life presently ",3, ,"Nausea ,  vomiting , loss of appetite,  diarrhea ,  headache ,  dizziness , change in the way food tastes, or tiredness may occur.",1
75 or over,Cancer of Ovary in Patient with Germline BRCA Mutation,1/30/2018,lynparza tablet,167493,5,5,"Taking 112 capsules a week is amazing. But it made me feel much better than before. My CA decreased. The only thing is that the price is too much expensive. I have to buy it from India online pharmacy(bonhoa.com) which is cheaper than brand one. Until now 5 months, works very well. Hope I can live to 90 . God bless all of you.",5, ,"Nausea ,  vomiting , loss of appetite,  diarrhea ,  headache ,  dizziness , change in the way food tastes, or tiredness may occur.",16
65-74,Cancer of Ovary in Patient with Germline BRCA Mutation,12/8/2016,lynparza tablet,167493,5,5,low hgb for the first 8 months but not as tired and now hgb is 12.5.  Last CA 125 12.2.  Just yesterday my dose has been reduced because of muscle  and joint pain.   These I can live with.,5,Female,"Nausea ,  vomiting , loss of appetite,  diarrhea ,  headache ,  dizziness , change in the way food tastes, or tiredness may occur.",10
45-54,Cancer of Ovary in Patient with Germline BRCA Mutation,7/13/2016,lynparza tablet,167493,5,5,"Prescribed Lynparza after my first-line IV/IP chemo failed to achieve remission. After 10 weeks on Lynparza I was in remission and have remained so for 1 year so far. I was originally prescribed 400 mg (8 pills) twice per day. After experiencing some severe anemia, the dose was cut in half...all good since then.",5,Female,"Nausea ,  vomiting , loss of appetite,  diarrhea ,  headache ,  dizziness , change in the way food tastes, or tiredness may occur.",18
55-64,Cancer of Ovary in Patient with Germline BRCA Mutation,6/21/2016,lynparza tablet,167493,5,5,I take six pills twice a day and no food one hour before and after. I am exhausted and have sharp pain on occasion - abdominal and back. My CA125 has dropped significantly in just three months. We are hopeful for a remission. I'm feeling better than I have in two years!,5,Female,"Nausea ,  vomiting , loss of appetite,  diarrhea ,  headache ,  dizziness , change in the way food tastes, or tiredness may occur.",20
